Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,Costo,Visibilidad
sierras-lu5e,Sierra para Aluminio Gruesa,Sierras,Medida,LU5E 0100,,,,,,,,LU5E 0100,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5E/1.jpg"" alt=""Sierra para Aluminio Gruesa"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5E/2.jpg"" alt=""Sierra para Aluminio Gruesa"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5E/3.jpg"" alt=""Sierra para Aluminio Gruesa"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Aluminio Gruesa</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aluminio</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU5E",Sierra para Aluminio Gruesa LU5E - Freud | WoodTools,Sierra para Aluminio Gruesa LU5E. Aluminio Consultanos por medidas y stock.,Freud,si,,
sierras-lu5e,,,Medida,LU5E 0200,,,,,,,,LU5E 0200,,no,no,,,,,,si,,
sierras-lm01,Sierra Múltiple,Sierras,Medida,LM01 3200,,,,,,,,LM01 3200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM01/1.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM01/2.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM01/3.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Múltiple</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Corte Múltiple</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LM01",Sierra Múltiple LM01 - Freud | WoodTools,Sierra Múltiple LM01. Corte Múltiple Consultanos por medidas y stock.,Freud,si,,
sierras-lm02,Sierra Múltiple,Sierras,Medida,LM02 3200,,,,,,,,LM02 3200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM02/1.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM02/2.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM02/3.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM02/4.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Múltiple</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Corte Múltiple</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LM02",Sierra Múltiple LM02 - Freud | WoodTools,Sierra Múltiple LM02. Corte Múltiple Consultanos por medidas y stock.,Freud,si,,
sierras-lm04,Sierra Múltiple,Sierras,Medida,LM04 3100,,,,,,,,LM04 3100,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM04/1.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM04/2.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM04/3.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Múltiple</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Corte Múltiple</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LM04",Sierra Múltiple LM04 - Freud | WoodTools,Sierra Múltiple LM04. Corte Múltiple Consultanos por medidas y stock.,Freud,si,,
sierras-lm05,Sierra Múltiple,Sierras,Medida,LM05 3100,,,,,,,,LM05 3100,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM05/1.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM05/2.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM05/3.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Múltiple</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Corte Múltiple</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LM05",Sierra Múltiple LM05 - Freud | WoodTools,Sierra Múltiple LM05. Corte Múltiple Consultanos por medidas y stock.,Freud,si,,
sierras-lm06,Sierra Múltiple con Limpiadores,Sierras,Medida,LM06 3100,,,,,,,,LM06 3100,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM06/1.jpg"" alt=""Sierra Múltiple con Limpiadores"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM06/2.jpg"" alt=""Sierra Múltiple con Limpiadores"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM06/3.jpg"" alt=""Sierra Múltiple con Limpiadores"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM06/4.jpg"" alt=""Sierra Múltiple con Limpiadores"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Múltiple con Limpiadores</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Corte Múltiple</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LM06",Sierra Múltiple con Limpiadores LM06 - Freud | WoodTools,Sierra Múltiple con Limpiadores LM06. Corte Múltiple Consultanos por medidas y stock.,Freud,si,,
sierras-lm63m,Sierra Múltiple,Sierras,Medida,LM63M CC3,,,,,,,,LM63M CC3,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM63M/1.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM63M/2.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM63M/3.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LM63M/4.jpg"" alt=""Sierra Múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Múltiple</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Corte Múltiple</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LM63M",Sierra Múltiple LM63M - Freud | WoodTools,Sierra Múltiple LM63M. Corte Múltiple Consultanos por medidas y stock.,Freud,si,,
sierras-lsa,Sierra para Seccionadora,Sierras,Medida,LSA 30003X,,,,,,,,LSA 30003X,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/Sierra%20para%20seccionadora%20Franzoi/1.jpg"" alt=""Sierra para Seccionadora"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/Sierra%20para%20seccionadora%20Franzoi/2.jpg"" alt=""Sierra para Seccionadora"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/Sierra%20para%20seccionadora%20Franzoi/3.jpg"" alt=""Sierra para Seccionadora"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Seccionadora</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Máquinas Seccionadoras</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LSA",Sierra para Seccionadora LSA - Freud | WoodTools,Sierra para Seccionadora LSA. Máquinas Seccionadoras Consultanos por medidas y stock.,Freud,si,,
sierras-lsa,,,Medida,LSA 35003X,,,,,,,,LSA 35003X,,no,no,,,,,,si,,
sierras-li13md,Incisor Doble Regulable Diente Plano,Sierras,Medida,LI13MD BA3,,,,,,,,LI13MD BA3,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI13MDAA3/1%20(1).jpg"" alt=""Incisor Doble Regulable Diente Plano"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI13MDAA3/Recto%20alineado%20(1).jpg"" alt=""Incisor Doble Regulable Diente Plano"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Incisor Doble Regulable Diente Plano</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Máquinas Escuadradoras</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LI13MD",Incisor Doble Regulable Diente Plano LI13MD - Freud | WoodTools,Incisor Doble Regulable Diente Plano LI13MD. Máquinas Escuadradoras Consultanos por medidas y stock.,Freud,si,,
sierras-li13md,,,Medida,LI13MD CA3,,,,,,,,LI13MD CA3,,no,no,,,,,,si,,
sierras-li13ms,Incisor Simple,Sierras,Medida,LI13MS BA3,,,,,,,,LI13MS BA3,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI13MSAA3/1.jpg"" alt=""Incisor Simple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI13MSAA3/2.jpg"" alt=""Incisor Simple"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Incisor Simple</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Máquinas Escuadradoras</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LI13MS",Incisor Simple LI13MS - Freud | WoodTools,Incisor Simple LI13MS. Máquinas Escuadradoras Consultanos por medidas y stock.,Freud,si,,
sierras-li13ms,,,Medida,LI13MS CA3,,,,,,,,LI13MS CA3,,no,no,,,,,,si,,
sierras-li16m,Incisor Cónico,Sierras,Medida,LI16M AA3,,,,,,,,LI16M AA3,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI16MAA3/1.jpg"" alt=""Incisor Cónico"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI16MAA3/2.jpg"" alt=""Incisor Cónico"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI16MAA3/3.jpg"" alt=""Incisor Cónico"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Incisor Cónico</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Escuadradoras y Seccionadoras</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LI16M",Incisor Cónico LI16M - Freud | WoodTools,Incisor Cónico LI16M. Escuadradoras y Seccionadoras Consultanos por medidas y stock.,Freud,si,,
sierras-li16m,,,Medida,LI16M BA3,,,,,,,,LI16M BA3,,no,no,,,,,,si,,
sierras-li25m,Incisor Doble Regulable Diente Alterno,Sierras,Medida,LI25M 28 BA3,,,,,,,,LI25M 28 BA3,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI25M31BA3/1.jpg"" alt=""Incisor Doble Regulable Diente Alterno"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI25M31BA3/2.jpg"" alt=""Incisor Doble Regulable Diente Alterno"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LI25M31BA3/3.jpg"" alt=""Incisor Doble Regulable Diente Alterno"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Incisor Doble Regulable Diente Alterno</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Uso:</b> Máquinas Seccionadoras</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LI25M",Incisor Doble Regulable Diente Alterno LI25M - Freud | WoodTools,Incisor Doble Regulable Diente Alterno LI25M. Máquinas Seccionadoras Consultanos por medidas y stock.,Freud,si,,
sierras-li25m,,,Medida,LI25M 31 CA3,,,,,,,,LI25M 31 CA3,,no,no,,,,,,si,,
sierras-tr15md,Triturador Doble,Sierras,Medida,TR15MD CA3,,,,,,,,TR15MD CA3,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/TR15MS/1.jpg"" alt=""Triturador Doble"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/TR15MS/2.jpg"" alt=""Triturador Doble"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/TR15MS/Recto%20alineado%20(2).jpg"" alt=""Triturador Doble"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Triturador Doble</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,TR15MD",Triturador Doble TR15MD - Freud | WoodTools,Triturador Doble TR15MD.  Consultanos por medidas y stock.,Freud,si,,
sierras-tr15ms,Triturador Simple,Sierras,Medida,TR15MS CA3,,,,,,,,TR15MS CA3,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/TR15MS/1.jpg"" alt=""Triturador Simple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/TR15MS/2.jpg"" alt=""Triturador Simple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/TR15MS/Recto%20alineado%20(2).jpg"" alt=""Triturador Simple"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Triturador Simple</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,TR15MS",Triturador Simple TR15MS - Freud | WoodTools,Triturador Simple TR15MS.  Consultanos por medidas y stock.,Freud,si,,
sierras-lt,Sierra Trituradora,Sierras,Medida,LT14MD,,,,,,,,LT14MD,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/TR15MS/1.jpg"" alt=""Sierra Trituradora"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/TR15MS/2.jpg"" alt=""Sierra Trituradora"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/TR15MS/Recto%20alineado%20(2).jpg"" alt=""Sierra Trituradora"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Trituradora</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Triturador</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LT",Sierra Trituradora LT - Freud | WoodTools,Sierra Trituradora LT. Triturador Consultanos por medidas y stock.,Freud,si,,
sierras-lt,,,Medida,LT14MS,,,,,,,,LT14MS,,no,no,,,,,,si,,
sierras-lt,,,Medida,LT16MD,,,,,,,,LT16MD,,no,no,,,,,,si,,
sierras-lt,,,Medida,LT16MS,,,,,,,,LT16MS,,no,no,,,,,,si,,
sierras-lt,,,Medida,LT18MD,,,,,,,,LT18MD,,no,no,,,,,,si,,
sierras-lt,,,Medida,LT18MS,,,,,,,,LT18MS,,no,no,,,,,,si,,
sierras-scc-freud,Incisor SCC Freud,Sierras,Medida,1,,,,,,,,1,,no,no,"<p><b>Incisor SCC Freud</b></p><ul><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Incisor</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,SCC_Freud",Incisor SCC Freud SCC_Freud - Freud | WoodTools,Incisor SCC Freud SCC_Freud. Incisor Consultanos por medidas y stock.,Freud,si,,
sierras-scc-franzoi,Incisor SCC Franzoi,Sierras,Medida,1,,,,,,,,SCC_Franzoi-1,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/Incisor%20Santi/1.jpg"" alt=""Incisor SCC Franzoi"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/Incisor%20Santi/2.jpg"" alt=""Incisor SCC Franzoi"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/Incisor%20Santi/3.jpg"" alt=""Incisor SCC Franzoi"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Incisor SCC Franzoi</b></p><ul><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Incisor</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Franzoi,SCC_Franzoi",Incisor SCC Franzoi SCC_Franzoi - Franzoi | WoodTools,Incisor SCC Franzoi SCC_Franzoi. Incisor Consultanos por medidas y stock.,Franzoi,si,,
sierras-sc-franzoi,Sierras para múltiple,Sierras,Medida,SC2504144F,,,,,,,,SC2504144F,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/Sierra%20con%20racadores%20Franzoi/1.jpg"" alt=""Sierras para múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/Sierra%20con%20racadores%20Franzoi/2.jpg"" alt=""Sierras para múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/Sierra%20con%20racadores%20Franzoi/3.jpg"" alt=""Sierras para múltiple"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierras para múltiple</b></p><ul><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera (Múltiples)</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Franzoi,SC_Franzoi",Sierras para múltiple SC_Franzoi - Franzoi | WoodTools,Sierras para múltiple SC_Franzoi. Madera (Múltiples) Consultanos por medidas y stock.,Franzoi,si,,
sierras-sc-franzoi,,,Medida,SC25042144F,,,,,,,,SC25042144F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC3004164F,,,,,,,,SC3004164F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC30042164F,,,,,,,,SC30042164F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC35045184F,,,,,,,,SC35045184F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC3505135184F,,,,,,,,SC3505135184F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC35045244F,,,,,,,,SC35045244F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC40045184F,,,,,,,,SC40045184F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC4005135184F,,,,,,,,SC4005135184F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC4504248F,,,,,,,,SC4504248F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC4505204F,,,,,,,,SC4505204F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC4805204F,,,,,,,,SC4805204F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC5005184F,,,,,,,,SC5005184F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC55051204F,,,,,,,,SC55051204F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC60055244F,,,,,,,,SC60055244F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC125324F,,,,,,,,SC125324F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC125424F,,,,,,,,SC125424F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC150324F,,,,,,,,SC150324F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SC150424F,,,,,,,,SC150424F,,no,no,,,,,,si,,
sierras-sc-franzoi,,,Medida,SCC1324,,,,,,,,SCC1324,,no,no,,,,,,si,,
fresas-frs,Fresas Rectas HM,Fresas > Fresas rectas,Medida,FRS0054,,,,,,,,FRS0054,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Fresas/FRS0606/1%20(1).jpg"" alt=""Fresas Rectas HM"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Fresas/FRS0606/2.jpg"" alt=""Fresas Rectas HM"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Fresas/FRS0606/3.jpg"" alt=""Fresas Rectas HM"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Fresas/FRS0606/4.jpg"" alt=""Fresas Rectas HM"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Fresas Rectas HM</b></p><ul><li><b>Marca:</b> Franzoi</li><li><b>Uso:</b> Ranurar, cepillar o realizar rebajes</li><li><b>Material:</b> Metal duro</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Fresas,Franzoi,FRS",Fresas Rectas HM FRS - Franzoi | WoodTools,"Fresas Rectas HM FRS. Ranurar, cepillar o realizar rebajes Consultanos por medidas y stock.",Franzoi,si,,
fresas-frs,,,Medida,FRS0056,,,,,,,,FRS0056,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0064,,,,,,,,FRS0064,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0066,,,,,,,,FRS0066,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0074,,,,,,,,FRS0074,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0076,,,,,,,,FRS0076,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0084,,,,,,,,FRS0084,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0086,,,,,,,,FRS0086,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0094,,,,,,,,FRS0094,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0096,,,,,,,,FRS0096,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0104,,,,,,,,FRS0104,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0106,,,,,,,,FRS0106,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0114,,,,,,,,FRS0114,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0116,,,,,,,,FRS0116,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0124,,,,,,,,FRS0124,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0126,,,,,,,,FRS0126,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0134,,,,,,,,FRS0134,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0136,,,,,,,,FRS0136,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0144,,,,,,,,FRS0144,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0146,,,,,,,,FRS0146,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0154,,,,,,,,FRS0154,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0156,,,,,,,,FRS0156,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0164,,,,,,,,FRS0164,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0166,,,,,,,,FRS0166,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0174,,,,,,,,FRS0174,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0176,,,,,,,,FRS0176,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0184,,,,,,,,FRS0184,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0186,,,,,,,,FRS0186,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0194,,,,,,,,FRS0194,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0196,,,,,,,,FRS0196,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0204,,,,,,,,FRS0204,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0206,,,,,,,,FRS0206,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0254,,,,,,,,FRS0254,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0256,,,,,,,,FRS0256,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0304,,,,,,,,FRS0304,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0306,,,,,,,,FRS0306,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0354,,,,,,,,FRS0354,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0356,,,,,,,,FRS0356,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0404,,,,,,,,FRS0404,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0406,,,,,,,,FRS0406,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0454,,,,,,,,FRS0454,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0456,,,,,,,,FRS0456,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0504,,,,,,,,FRS0504,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0506,,,,,,,,FRS0506,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0604,,,,,,,,FRS0604,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0606,,,,,,,,FRS0606,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0704,,,,,,,,FRS0704,,no,no,,,,,,si,,
fresas-frs,,,Medida,FRS0706,,,,,,,,FRS0706,,no,no,,,,,,si,,
