Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,Costo,Visibilidad
sierras-lu3f,,,Medida,LU3F 0400,,,,,,,,LU3F 0400,,no,no,,,,,,si,,
sierras-lu3e,Sierra para Melamina,Sierras,Medida,LU3E 0200,,,,,,,,LU3E 0200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3E%200200/1.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3E%200200/2.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3E%200200/3.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Melamina</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU3E",Sierra para Melamina LU3E - Freud | WoodTools,Sierra para Melamina LU3E. Melamina Consultanos por medidas y stock.,Freud,si,,
sierras-fr12l,Sierra para Melamina y Madera,Sierras,Medida,FR12L001H,,,,,,,,FR12L001H,,no,no,"<p><b>Sierra para Melamina y Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aglomerado, MDF, Madera y Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,FR12L",Sierra para Melamina y Madera FR12L - Freud | WoodTools,"Sierra para Melamina y Madera FR12L. Aglomerado, MDF, Madera y Melamina Consultanos por medidas y stock.",Freud,si,,
sierras-lu3d,Sierra para Melamina,Sierras,Medida,LU3D 0200,,,,,,,,LU3D 0200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3D%200200/1.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3D%200200/2.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU3D%200200/3.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Melamina</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU3D",Sierra para Melamina LU3D - Freud | WoodTools,Sierra para Melamina LU3D. Melamina Consultanos por medidas y stock.,Freud,si,,
sierras-lu3d,,,Medida,LU3D 0600,,,,,,,,LU3D 0600,,no,no,,,,,,si,,
sierras-f03fs,Sierra Circular Multiuso,Sierras,Medida,F03FS09801,,,,,,,,F03FS09801,,no,no,"<p><b>Sierra Circular Multiuso</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aglomerado, MDF, Madera y Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,F03FS",Sierra Circular Multiuso F03FS - Freud | WoodTools,"Sierra Circular Multiuso F03FS. Aglomerado, MDF, Madera y Melamina Consultanos por medidas y stock.",Freud,si,,
sierras-lsb,Sierra Circular Extra Silenciosa,Sierras,Medida,LSB25003X,,,,,,,,LSB25003X,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LSB25003X/1.jpg"" alt=""Sierra Circular Extra Silenciosa"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LSB25003X/2.jpg"" alt=""Sierra Circular Extra Silenciosa"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Circular Extra Silenciosa</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Placas Bilaminadas / Melamina</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LSB",Sierra Circular Extra Silenciosa LSB - Freud | WoodTools,Sierra Circular Extra Silenciosa LSB. Placas Bilaminadas / Melamina Consultanos por medidas y stock.,Freud,si,,
sierras-lsb,,,Medida,LSB30003X,,,,,,,,LSB30003X,,no,no,,,,,,si,,
sierras-lsb,,,Medida,LSB35003X,,,,,,,,LSB35003X,,no,no,,,,,,si,,
sierras-lg2a,Sierra para Madera,Sierras,Medida,LG2A 1700,,,,,,,,LG2A 1700,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2A/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2A/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2A/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera maciza, blanda y dura</li><li><b>Tipo de diente:</b> Alterno</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LG2A",Sierra para Madera LG2A - Freud | WoodTools,"Sierra para Madera LG2A. Madera maciza, blanda y dura Consultanos por medidas y stock.",Freud,si,,
sierras-lg2a,,,Medida,LG2A 2100,,,,,,,,LG2A 2100,,no,no,,,,,,si,,
sierras-lg2a,,,Medida,LG2A 2800,,,,,,,,LG2A 2800,,no,no,,,,,,si,,
